timestamp,open,high,low,close,volume
1577912400000,7157.6,7164.5,7148.6,7157.6,0.0359
1577916000000,7157.3,7157.3,7111,7117.8,7.4003
1577919600000,7117.8,7122.5,7101.2,7119.7,11.2184
1577923200000,7119.7,7126.9,7107.7,7125.9,13.8571
1577926800000,7126,7126.2,7105.2,7108.7,3.5619
1577930400000,7108.7,7108.7,7071.5,7083.6,15.706
1577934000000,7083.4,7083.4,7040.3,7042.6,6.8058
1577937600000,7042.6,7072.3,7032.5,7055.6,13.8787
1577941200000,7055.6,7065.4,7046.6,7051.9,8.5263
1577944800000,7051.9,7061.3,7037.2,7046.3,1.9843
1577948400000,7046.4,7051.3,7018.2,7022.2,8.4943
1577952000000,7022.2,7068.3,7022.2,7067.3,19.6767
1577955600000,7067.2,7076.4,7052.6,7075.3,10.3938
1577959200000,7075.2,7098.1,7074.8,7080.6,11.6577
1577962800000,7080.6,7085.3,7062.2,7062.2,5.7469
1577966400000,7062.2,7084,7061.7,7077.2,10.4763
1577970000000,7077.1,7082.1,7025.1,7051.5,11.1192
1577973600000,7051.5,7079.6,7045.1,7060.6,13.2613
1577977200000,7060.6,7074.1,7042.2,7054.3,7.5713
1577980800000,7054.2,7068.3,6960.1,6969.7,13.9044
1577984400000,6969.7,6969.7,6849.7,6890.2,30.9427
1577988000000,6890.1,6909.9,6871.8,6899.4,10.754
1577991600000,6899.4,6918.8,6885.2,6908.2,17.883
1577995200000,6908.2,6908.6,6869.1,6871.4,12.54
1577998800000,6871.4,6913.2,6871,6901.8,12.2958
1578002400000,6900.9,6901.4,6889.8,6898.6,13.3536
1578006000000,6898.6,6899.8,6881.4,6889.4,17.5604
1578009600000,6890.6,6890.6,6848.3,6863,16.9124
1578013200000,6863,6870.5,6807.6,6813.8,17.0961
1578016800000,6813.5,6887.8,6802.8,6883.7,31.9872
1578020400000,6884,6889.8,6869.4,6881.7,14.4397
1578024000000,6881.8,7193,6878.8,7138.6,55.3189
1578027600000,7138.6,7177.7,7098.1,7147.2,41.1354
1578031200000,7147.3,7151.3,7124.6,7135.1,21.7005
1578034800000,7135.1,7163,7122.6,7131.3,20.5413
1578038400000,7131.4,7224.5,7130.7,7195.7,29.4751
1578042000000,7195.9,7287.8,7194.5,7279.2,51.3288
1578045600000,7279.2,7304.9,7220.1,7244.2,39.0249
1578049200000,7244.2,7277.8,7238.6,7272.1,24.3504
1578052800000,7272,7281.5,7239,7257,23.1251
1578056400000,7257.3,7309.7,7250.2,7284.9,18.2468
1578060000000,7284.9,7290.8,7172.8,7190.7,27.8914
1578063600000,7190.7,7257.7,7190.7,7256,20.5768
1578067200000,7256.2,7339.3,7234.6,7329.3,41.9742
1578070800000,7329.3,7341.8,7274.8,7298.4,29.67
1578074400000,7298.4,7306,7274.2,7280.7,26.6712
1578078000000,7279.6,7286,7220.6,7274.8,22.5085
1578081600000,7274.9,7294.1,7240.9,7253.4,25.5463
1578258000000,7371.8,7371.8,7304.6,7304.6,0.0638
1578261600000,7302.7,7320.1,7259,7290.7,27.8948
1578265200000,7290.7,7298.9,7263.1,7294.8,26.6983
1578268800000,7296.9,7319.3,7286.3,7315.7,33.1958
1578272400000,7315.5,7359.1,7308.3,7358.7,24.7163
1578276000000,7358.6,7503.2,7357.6,7490.6,42.3834
1578279600000,7490.7,7521,7433,7480.9,35.7486
1578283200000,7480.9,7493.1,7460.8,7469.9,17.1538
1578286800000,7470,7477.6,7438.3,7466.8,19.1427
1578290400000,7467.3,7469.6,7449.9,7453.7,14.789
1578294000000,7453.8,7462.9,7447.4,7447.6,12.8272
1578297600000,7447.6,7490.1,7446.8,7484.9,28.8702
1578301200000,7485,7490.3,7451,7488.4,20.947
1578304800000,7488.6,7512.2,7474.1,7498.6,25.1466
1578308400000,7498.6,7515.8,7464.4,7478.3,24.7689
1578312000000,7478.2,7501,7474.8,7497,24.0379
1578315600000,7496.8,7546.1,7434.1,7467.3,32.4859
1578319200000,7467,7494.9,7446.3,7484.6,37.1123
1578322800000,7484.6,7487.6,7459.3,7459.3,21.9817
1578326400000,7459.2,7485.6,7451.8,7468,30.6697
1578330000000,7468,7497.7,7465.8,7496,30.509
1578333600000,7495.9,7496.8,7467.5,7470.6,15.2946
1578337200000,7470.4,7488.9,7462.8,7477.7,25.3752
1578340800000,7477.7,7494.6,7475.5,7490.7,21.6655
1578344400000,7490.7,7548.4,7489.5,7518.2,29.4109
1578348000000,7518,7698.9,7517.6,7657,54.2755
1578351600000,7656.9,7747.6,7656.9,7707.7,68.1623
1578355200000,7707.8,7941.7,7707.8,7833.5,86.5061
1578358800000,7833.5,7866.9,7817.3,7851.1,61.4218
1578362400000,7851.2,7886.8,7843.9,7845.8,54.5285
1578366000000,7845.9,7868,7835.1,7841.4,42.3046
1578369600000,7841.5,7848.7,7772.3,7788.8,41.7689
1578373200000,7788.7,7822.4,7781.9,7819.4,31.8688
1578376800000,7819.4,7819.9,7804.4,7815.6,18.8646
1578380400000,7815.2,7833.2,7805.4,7822.5,27.1977
1578384000000,7822.4,7840.2,7813.6,7822.4,15.8292
1578387600000,7822.4,7823.8,7799,7799.7,25.06
1578391200000,7799.8,7828.5,7799.7,7828.5,25.8142
1578394800000,7828.5,7905.5,7825.2,7837.4,43.888
1578398400000,7837.4,7856.2,7790.5,7812.4,46.858
1578402000000,7812.6,7813,7762.2,7792.8,43.5982
1578405600000,7792.8,7827.1,7786.2,7794.2,26.7364
1578409200000,7794.2,7796.2,7693.1,7708.8,27.7012
1578412800000,7708.8,7882.1,7679,7858.6,49.5751
1578416400000,7858.6,7897.9,7826.1,7885.6,54.3734
1578420000000,7885.5,8074.8,7867.6,7989.5,61.3214
1578423600000,7989.4,8059.4,7989.3,8022.6,51.7269
1578427200000,8022.6,8122.5,7998.3,8111.7,51.7482
1578430800000,8111.8,8133.4,7958,7964.5,62.9997
1578434400000,7963.9,8011.8,7905.8,7992,49.9807
1578438000000,7992.1,8155.1,7968.5,8100.2,66.0581
1578441600000,8100.1,8406.1,8096.5,8392.9,81.2148
1578445200000,8392.9,8404.6,8296.6,8319.9,66.7538
1578448800000,8320,8371.7,8207.1,8229.1,67.5132
1578452400000,8228.9,8283.4,8196.1,8247.3,64.8453
1578456000000,8247.5,8297.1,8231.4,8288.6,44.9975
1578459600000,8288.6,8320,8253.3,8277.9,43.0555
1578463200000,8277.8,8304.9,8264.1,8281.3,26.2169
1578466800000,8281.2,8286.8,8224.7,8243.4,25.7774
1578470400000,8243.4,8272.3,8215.3,8257.5,37.4761
1578474000000,8257.5,8261.8,8226.1,8242.1,38.6853
1578477600000,8242.1,8303.6,8231.3,8278.6,34.8219
1578481200000,8278.7,8314.6,8278.2,8282.4,23.0004
1578484800000,8281.9,8290.5,8220.4,8225.1,29.8567
1578488400000,8224.9,8356.1,8164.7,8328.2,51.8385
1578492000000,8328.2,8328.3,8179.3,8250,35.2573
1578495600000,8251,8300.1,8181.2,8247.4,47.1195
1578499200000,8247.3,8273.5,8006.9,8057.4,55.1512
1578502800000,8057.5,8065,7956.8,8024.2,47.7707
1578506400000,8024.6,8031.6,7979.5,7991,30.807
1578510000000,7991.3,8003.4,7905.7,7905.7,33.5233
1578513600000,7905.6,7991.5,7816.9,7983.3,55.1579
1578517200000,7983.3,7984.2,7911.3,7948.6,41.0934
1578520800000,7948.6,8019.5,7922.9,8010.9,36.5259
1578524400000,8011,8053.1,7967.3,7990.4,39.5737
1578528000000,7990.4,7990.7,7875.7,7897.7,61.3622
1578531600000,7897.6,7971.2,7893.5,7938.6,40.7432
1578535200000,7938.5,7961.2,7918.7,7920.3,37.882
1578538800000,7920.2,7928.5,7879.5,7894.4,40.7924
1578542400000,7894.4,7917.9,7870.6,7909.4,45.054
1578546000000,7909.6,7909.7,7874.3,7883.1,43.5868
1578549600000,7883,7892.1,7848,7856.3,47.0567
1578553200000,7856.3,7909.8,7852,7890.1,36.1993
1578556800000,7890.2,7896.9,7859.9,7878.5,29.5578
1578560400000,7878.2,7878.2,7802,7815.9,41.5653
1578564000000,7815.8,7876.8,7799.5,7834.6,43.0104
1578567600000,7834.6,7840.4,7798.1,7816.8,43.2641
1578571200000,7816.9,7852.8,7812.7,7839.1,41.9318
1578574800000,7839,7885.5,7833.4,7834.3,32.7989
1578578400000,7834.2,7856.4,7815.7,7824.8,31.2993
1578582000000,7824.9,7867.6,7824.4,7844.4,34.0129
1578585600000,7844.7,7857.5,7750.7,7761.9,41.7326
1578589200000,7761.9,7785.9,7722.5,7735.1,37.3106
1578592800000,7735,7770.8,7728.7,7754.7,32.375
1578596400000,7754.7,7894.7,7754.3,7860.1,43.8129
1578600000000,7860.7,7939,7752.2,7760.6,47.2715
1578603600000,7760.6,7784,7692.4,7729.4,49.8394
1578607200000,7729.4,7809.1,7729,7749,40.6538
1578610800000,7749.2,7771.5,7730.1,7757.4,41.8951
1578614400000,7760.4,7788.4,7755.5,7759.1,21.8457
1578618000000,7759.2,7775.1,7727.2,7741.5,48.3851
1578621600000,7741.3,7760.5,7732.3,7740,30.3509
1578625200000,7740,7755.2,7710.9,7749.5,39.9275
1578628800000,7749.6,7750.8,7702,7728.4,30.3041
1578632400000,7728.5,7728.5,7675,7680.1,26.2524
1578636000000,7679.9,7714.7,7654.8,7678.3,33.74
1578639600000,7678.3,7686.7,7657,7681.5,24.6885
1578643200000,7681.7,7682.5,7622.9,7642,26.2847
1578646800000,7642.2,7687.2,7632.5,7660.1,23.4501
1578650400000,7660.1,7716.1,7624.3,7708.2,28.7025
1578654000000,7708,7788.5,7707,7772.8,42.1278
1578657600000,7772.8,7830.2,7750.4,7828.2,36.2825
1578661200000,7828.1,7879.4,7804,7805.8,40.1792
1578664800000,7805.7,7919.5,7792.7,7915.8,51.4769
1578668400000,7916.1,8021.5,7890.8,8005.7,52.9825
1578672000000,8005.7,8076.7,7877.3,7896.3,48.5635
1578675600000,7895.4,7917.4,7861.6,7908.7,32.1488
1578679200000,7908.9,8050.3,7908.9,7966,56.9639
1578682800000,7966.2,8067.3,7918.6,8008.9,46.4748
1578686400000,8008.9,8044.4,7992.6,8016.1,29.7299
1578862800000,8078.8,8086.2,8038.9,8043.7,0.0545
1578866400000,8041,8104.5,8040,8095,18.241
1578870000000,8095,8124.8,8082.4,8124.5,17.7621
1578873600000,8124.4,8136.6,8083.2,8089.7,26.6047
1578877200000,8089.5,8100.3,8078.8,8091.6,22.1632
1578880800000,8091.6,8093.9,8050.7,8051.9,12.2505
1578884400000,8052,8060.2,8027.9,8044.9,13.9564
1578888000000,8044.5,8055.6,8027.6,8050.9,13.2384
1578891600000,8050.9,8050.9,8016.1,8026.9,6.8698
1578895200000,8026.7,8048,7991.7,7994.6,10.5957
1578898800000,7994.5,8021,7991.5,8007.3,7.7525
1578902400000,8007.3,8061.9,7999.6,8060.9,14.4524
1578906000000,8060.8,8060.8,8019.4,8042.3,8.3337
1578909600000,8042.2,8057.3,8029.7,8052.9,15.1026
1578913200000,8053,8062.5,8015,8015,17.222
1578916800000,8015,8029.6,7992.3,8025.2,12.658
1578920400000,8025.2,8044.1,8014.7,8017.7,13.1251
1578924000000,8017.7,8029.4,8005.6,8025.8,12.7834
1578927600000,8025.8,8035.7,8008.4,8018.7,8.0494
1578931200000,8018.8,8043.1,8008.6,8043.1,11.9858
1578934800000,8043,8066.7,8029.3,8033.7,11.2127
1578938400000,8033.7,8041.8,8028.2,8041.8,13.7475
1578942000000,8041.8,8062.4,8040.2,8050.9,18.5134
1578945600000,8050.9,8099.3,8047.9,8096.5,10.6175
1578949200000,8096.4,8098.3,8060.5,8074.4,6.8903
1578952800000,8073.8,8078.5,8053.4,8060.9,9.109
1578956400000,8060.9,8080.5,8050,8051.1,13.2078
1578960000000,8051.2,8254.5,8050.8,8213,42.544
1578963600000,8212.7,8424.7,8212.1,8381.8,67.5146
1578967200000,8381.7,8382,8325.8,8371.6,48.6665
1578970800000,8371.6,8418.8,8323.3,8409.5,26.9873
1578974400000,8409.4,8517.7,8409.4,8464.3,45.5359
1578978000000,8464.3,8482.5,8406.3,8423.4,26.2351
1578981600000,8423.4,8456.4,8410.4,8453.1,37.207
1578985200000,8453,8484.9,8438.7,8446.6,34.725
1578988800000,8446.8,8475.7,8442,8450.3,31.1375
1578992400000,8450.6,8504,8423.4,8436,32.7492
1578996000000,8435.9,8462.4,8407.9,8456.7,21.366
1578999600000,8456.8,8471.1,8440.2,8465.4,32.9381
1579003200000,8465.1,8553.1,8415.5,8435.5,48.6583
1579006800000,8435.3,8530.1,8435.3,8530.1,41.4128
1579010400000,8530.2,8687.4,8506.9,8640.2,61.1606
1579014000000,8638.7,8708.6,8585.3,8643.3,54.5782
1579017600000,8646.8,8658.4,8473,8624,61.6665
1579021200000,8624.1,8762.8,8624.1,8724.6,71.2675
1579024800000,8724,8800.1,8635.9,8721.3,71.813
1579028400000,8721.3,8727.1,8643.1,8725.3,52.5247
1579032000000,8724.9,8724.9,8628.1,8639.2,31.5634
1579035600000,8639.2,8704.8,8618.8,8684,36.9768
1579039200000,8684,8724.6,8675.9,8691.9,22.8513
1579042800000,8691.9,8835.2,8673.6,8763.8,54.1066
1579046400000,8763.5,8841.6,8661.1,8720.3,66.3433
1579050000000,8720.3,8740.6,8663.7,8713.4,36.0088
1579053600000,8713.3,8765.2,8707.3,8746.5,31.1308
1579057200000,8746.8,8749.6,8662.7,8662.7,16.3984
1579060800000,8662.7,8672.2,8515.2,8527.7,34.7457
1579064400000,8527.7,8592.5,8504.3,8547.7,30.8014
1579068000000,8547.5,8613.1,8542.4,8603.5,29.5395
1579071600000,8603.5,8608.4,8549.2,8552,18.4418
1579075200000,8552,8596.3,8536,8564.4,17.7586
1579078800000,8564.4,8702.1,8564.1,8680.7,23.0911
1579082400000,8680.7,8736.1,8651.3,8728.4,42.3652
1579086000000,8728.4,8734.9,8653.3,8661.6,17.7133
1579089600000,8661.7,8720.5,8652.5,8696.4,20.1865
1579093200000,8696.4,8844.1,8692.9,8823.6,35.3191
1579096800000,8822.9,8829.8,8696.8,8786.4,64.6622
1579100400000,8786.5,8795.3,8674.7,8691.5,49.2314
1579104000000,8691.5,8743.8,8611,8711,47.6181
1579107600000,8711,8732.6,8664.9,8727,40.4967
1579111200000,8726.9,8727.8,8651.2,8681.5,45.1414
1579114800000,8681.5,8709.8,8675.5,8695.8,16.4481
1579118400000,8695.7,8767.9,8670.2,8751.3,23.323
1579122000000,8751.3,8788.5,8727.2,8766.8,25.516
1579125600000,8764.4,8795.7,8744.2,8791.7,24.1443
1579129200000,8792.2,8806.3,8728.6,8751.9,35.9376
1579132800000,8751.7,8790.9,8652.9,8693.4,40.4673
1579136400000,8693.4,8701.6,8552.6,8592.5,30.366
1579140000000,8592.5,8626.7,8551.6,8584.4,20.6056
1579143600000,8584.4,8587.1,8528,8574.4,37.748
1579147200000,8574.4,8608.5,8550.2,8581,27.6081
1579150800000,8581,8644.9,8580.9,8631.3,30.2382
1579154400000,8631.4,8646.6,8605.9,8643.4,19.2611
1579158000000,8643.5,8644,8587.5,8604.1,18.573
1579161600000,8604.1,8640.7,8590.9,8599.9,24.9552
1579165200000,8599.8,8606.9,8536.9,8575.8,20.977
1579168800000,8575.7,8592,8536.5,8587.4,32.3195
1579172400000,8587.4,8653.5,8560.7,8653.5,33.7441
1579176000000,8653.3,8713.7,8628.6,8652.1,48.1479
1579179600000,8652.3,8658.6,8601,8627.6,49.081
1579183200000,8627.7,8633.3,8579.4,8612.6,39.454
1579186800000,8612.6,8654.2,8603,8643,34.6372
1579190400000,8643,8648.6,8548.8,8579.9,25.973
1579194000000,8579.9,8645.1,8577.5,8608.4,39.8317
1579197600000,8608.2,8630.7,8582.4,8613.3,25.992
1579201200000,8613.3,8642,8605.9,8633.1,26.9012
1579204800000,8633.1,8683.3,8623.4,8678.9,30.1736
1579208400000,8678.9,8688.5,8604.3,8622.4,35.6882
1579212000000,8621.7,8671.4,8621.4,8653.2,27.8501
1579215600000,8653.3,8677.4,8653.2,8655.5,21.6
1579219200000,8656.3,8673.8,8608.3,8624.5,30.7839
1579222800000,8625,8663.6,8614.2,8663.4,24.5229
1579226400000,8663.3,8706.2,8650.7,8681.6,26.622
1579230000000,8681.6,8767.4,8681,8715.8,35.9723
1579233600000,8716.1,8741.7,8693.7,8739.9,31.4226
1579237200000,8739.9,8834.6,8727.5,8833.7,38.6468
1579240800000,8833.6,8932.8,8794.2,8806.4,50.0157
1579244400000,8806.8,8878.1,8795.3,8860.3,49.5731
1579248000000,8860.3,8934.9,8835.6,8859.5,30.2993
1579251600000,8859.6,8907.8,8852.8,8891.8,13.8277
1579255200000,8891.8,8951.4,8821.8,8855.6,34.7419
1579258800000,8855.6,8879.9,8823.6,8836.4,14.0892
