timestamp,open,high,low,close,volume
1577836800000,112.394,112.416,111.883,112.343,1367.48
1577923200000,112.34,112.387,111.51,111.724,67996.2891
1578009600000,111.722,111.74,110.925,111.137,97161.3594
1578182400000,111.098,111.146,110.922,111.121,6868.7998
1578268800000,111.12,112.004,111.109,111.926,88331.6563
1578355200000,111.926,111.982,111.319,111.468,97222
1578441600000,111.469,112.182,111.324,112.027,167412.2813
1578528000000,112.028,112.704,112.028,112.512,87219.3672
1578614400000,112.517,112.662,112.303,112.483,109117.5781
1578787200000,112.611,112.654,112.453,112.561,4992.1499
1578873600000,112.559,113.361,112.541,113.293,56887.4102
1578960000000,113.295,113.781,113.257,113.575,82892.7031
1579046400000,113.577,114.156,113.555,114.008,73314.1016
1579132800000,114.011,114.382,113.942,114.172,62201.4492
1579219200000,114.172,114.289,113.625,113.797,62454.7891
1579392000000,113.72,113.821,113.7,113.799,6203.3701
1579478400000,113.799,113.863,113.576,113.757,57989.0781
1579564800000,113.761,113.888,113.359,113.438,75882.4531
1579651200000,113.438,113.522,113.032,113.423,71594.7188
1579737600000,113.427,113.452,112.699,112.992,89149.2031
1579824000000,112.993,113.087,112.476,112.481,75919.6328
1579996800000,112.177,112.3,112.134,112.145,13656.25
1580083200000,112.144,112.567,112.083,112.305,97615.8125
1580169600000,112.304,112.421,111.994,112.161,87465.7109
1580256000000,112.157,112.171,111.735,111.977,84444.0625
1580342400000,111.978,112.433,111.926,112.306,121381.1016
1580428800000,112.307,112.699,112.256,112.428,118851.5391
1580601600000,112.494,112.537,112.303,112.492,9174.7002
1580688000000,112.494,112.67,112.41,112.451,110106.8594
1580774400000,112.451,113.001,112.342,112.9,93562.1406
1580860800000,112.9,113.093,112.65,112.806,110545.4688
1580947200000,112.806,112.901,112.659,112.818,90288.6016
1581033600000,112.818,112.843,112.24,112.241,103154.0625
1581206400000,112.207,112.307,112.193,112.242,10345.2402
1581292800000,112.241,112.394,112.178,112.294,120000.1016
1581379200000,112.293,112.587,112.148,112.563,84373.5391
1581465600000,112.565,112.905,112.302,112.371,65645.8906
1581552000000,112.37,112.437,112.038,112.111,107580.1406
1581638400000,112.111,112.151,111.736,111.736,82240.3125
1581811200000,111.846,111.87,111.735,111.831,4565.6299
1581897600000,111.829,112.077,111.748,111.986,58800.4219
1581984000000,111.987,112.006,111.624,111.79,97643.1172
1582070400000,111.792,113.358,111.76,113.044,93879.7031
1582156800000,113.042,114.241,113.033,113.811,130224.1406
1582243200000,113.811,114.271,113.441,113.992,128751.4688
1582416000000,113.42,113.996,113.42,113.94,11656.8398
1582502400000,113.94,114.069,112.866,113.114,179793.1719
1582588800000,113.115,113.349,112.68,112.982,218966.125
1582675200000,112.981,113.513,112.827,113.03,252561.7344
1582761600000,113.031,113.554,112.91,113.138,299156.4063
1582848000000,113.139,113.159,111.321,111.885,335041.3125
1583020800000,111.476,111.922,111.334,111.693,14820.7402
1583107200000,111.691,113.241,111.615,113.23,301511.5625
1583193600000,113.231,113.231,111.763,112.012,283037.125
1583280000000,112.012,112.78,111.975,112.584,202588.4375
1583366400000,112.587,112.587,111.982,112.332,228864.2813
1583452800000,112.332,112.857,111.947,112.305,322331.4063
1583625600000,111.744,112.267,111.624,112.067,28955.0098
1583712000000,112.069,112.147,109.548,111.018,416193.4688
1583798400000,111.018,112.564,110.623,112.102,422355.4688
1583884800000,112.102,112.468,110.983,111.314,333376.25
1583971200000,111.316,111.829,110.256,110.819,403173.6875
1584057600000,110.819,113.706,110.695,113.288,433267.875
1584230400000,112.799,113.299,111.587,112.496,47038.7891
1584316800000,112.491,113.059,111.113,112.099,496969.625
1584403200000,112.11,112.86,111.111,111.916,554212.875
1584489600000,111.919,112.172,110.966,111.952,467734.3125
1584576000000,111.948,113.022,111.528,112.556,569578.25
1584662400000,112.566,113.146,111.841,112.189,514838.6563
1584835200000,112.375,112.549,111.939,112.01,33739.9219
1584921600000,112.013,113.564,111.505,112.842,494338.7813
1585008000000,112.844,113.765,112.447,113.313,409046.9375
