timestamp,open,high,low,close,volume
1577916000000,1.59765,1.60067,1.59574,1.60038,1017.93
1577919600000,1.60031,1.60031,1.59811,1.59832,3365.46
1577923200000,1.59829,1.59953,1.59804,1.59926,3842.3101
1577926800000,1.59928,1.59964,1.59871,1.59936,5765.2402
1577930400000,1.59936,1.59976,1.59841,1.59954,3713.5801
1577934000000,1.59952,1.60046,1.59913,1.6004,3715.26
1577937600000,1.6004,1.60083,1.59941,1.59957,3122.5601
1577941200000,1.59957,1.60138,1.59922,1.6001,4363.7402
1577944800000,1.60011,1.60168,1.59986,1.60096,4582.4199
1577948400000,1.60097,1.60164,1.60057,1.60114,6698.7202
1577952000000,1.60119,1.6016,1.60012,1.60031,7429.4902
1577955600000,1.60031,1.60134,1.60015,1.6009,6597.2402
1577959200000,1.60088,1.60184,1.59999,1.60035,5694.6201
1577962800000,1.60038,1.60227,1.60016,1.60124,7432.6499
1577966400000,1.60124,1.60179,1.60045,1.60074,7213.5298
1577970000000,1.60074,1.60108,1.59916,1.60021,184079.7969
1577973600000,1.60021,1.60021,1.59739,1.59806,20074.8906
1577977200000,1.59803,1.59955,1.59742,1.59942,22707.0391
1577980800000,1.59942,1.60131,1.59923,1.59929,10658.0596
1577984400000,1.59929,1.60019,1.59898,1.59927,6922.1499
1577988000000,1.59927,1.59979,1.59888,1.59962,5518.3101
1577991600000,1.59962,1.60005,1.5989,1.59923,4724.8599
1577995200000,1.59925,1.5995,1.59837,1.59859,4097.1299
1577998800000,1.59858,1.5989,1.59738,1.59738,1840.0699
1578002400000,1.59738,1.59995,1.59678,1.59942,1524.14
1578006000000,1.59942,1.60024,1.59914,1.59955,3135.9199
1578009600000,1.59956,1.60095,1.59948,1.60019,4618.1099
1578013200000,1.60021,1.60255,1.5997,1.60221,7236.54
1578016800000,1.60222,1.6041,1.60145,1.60334,9614.6201
1578020400000,1.60333,1.60442,1.6028,1.60321,6588.7998
1578024000000,1.6032,1.60368,1.60256,1.60363,3609.05
1578027600000,1.60363,1.60467,1.60323,1.60418,5775.6602
1578031200000,1.60418,1.60485,1.6036,1.60419,4762.3501
1578034800000,1.60419,1.60458,1.60303,1.60369,10300.7598
1578038400000,1.6037,1.60513,1.60299,1.60422,11542.7402
1578042000000,1.60424,1.6062,1.60395,1.60581,9701
1578045600000,1.60582,1.6059,1.60421,1.60528,9418.5996
1578049200000,1.60528,1.60548,1.60423,1.60542,8485.6602
1578052800000,1.60542,1.60581,1.60277,1.60333,7459.8999
1578056400000,1.60333,1.60405,1.6026,1.60361,8693.2598
1578060000000,1.60359,1.60537,1.60264,1.60506,10677.8799
1578063600000,1.60506,1.60584,1.60303,1.60495,14403.79
1578067200000,1.60494,1.60565,1.60435,1.60471,12090.2197
1578070800000,1.60472,1.60499,1.60395,1.60444,5472.9702
1578074400000,1.60446,1.60599,1.60442,1.60489,6218.7002
1578078000000,1.60482,1.60559,1.60468,1.60477,6379.6401
1578081600000,1.60477,1.60522,1.60467,1.60507,4675.6899
1578085200000,1.60503,1.60627,1.60456,1.60566,17730.3203
1578261600000,1.60824,1.60883,1.60715,1.60853,916.65
1578265200000,1.6086,1.60994,1.60714,1.60721,7871.5698
1578268800000,1.60719,1.60727,1.60482,1.60551,7975.8101
1578272400000,1.60552,1.60918,1.60537,1.60839,7309.2798
1578276000000,1.60841,1.60848,1.60695,1.60728,4540.9502
1578279600000,1.6073,1.60899,1.60706,1.60832,4543.7798
1578283200000,1.60833,1.60875,1.60722,1.60751,4067.27
1578286800000,1.60751,1.60908,1.60737,1.609,3678.3799
1578290400000,1.609,1.60944,1.60814,1.60823,5373.8999
1578294000000,1.60823,1.60835,1.60667,1.60735,8412.9404
1578297600000,1.60739,1.60955,1.6062,1.60937,11101.75
1578301200000,1.60936,1.60949,1.60815,1.60921,9028.6104
1578304800000,1.60921,1.61032,1.60867,1.61018,7411.2598
1578308400000,1.61019,1.61265,1.61018,1.61249,7973.25
1578312000000,1.61249,1.61256,1.61008,1.61131,6020.1699
1578315600000,1.61134,1.61283,1.61127,1.61237,8273.4697
1578319200000,1.61241,1.61508,1.61201,1.61417,10572.8203
1578322800000,1.61416,1.61482,1.61216,1.61366,11731.8496
1578326400000,1.61366,1.61435,1.61263,1.61399,7574.7402
1578330000000,1.61399,1.61466,1.61356,1.61416,4848.1099
1578333600000,1.61417,1.61437,1.61352,1.61362,3960.79
1578337200000,1.61362,1.6141,1.61351,1.61391,3436.8501
1578340800000,1.61391,1.61402,1.6127,1.61282,3664.5601
1578344400000,1.61282,1.61342,1.61244,1.61337,1529.33
1578348000000,1.61337,1.61381,1.61243,1.61334,1749.29
1578351600000,1.61338,1.61449,1.61327,1.61381,4330.8501
1578355200000,1.61379,1.61535,1.6131,1.61491,5995.21
1578358800000,1.61491,1.61536,1.61369,1.61461,5219.2002
1578362400000,1.61458,1.61536,1.61393,1.61468,3750.3301
1578366000000,1.61468,1.61489,1.61308,1.61342,3804.01
1578369600000,1.61342,1.61558,1.61341,1.61534,3661.8201
1578373200000,1.61534,1.61777,1.61437,1.61763,5119.4199
1578376800000,1.61762,1.61933,1.6165,1.61733,9558.3096
1578380400000,1.61731,1.61972,1.61657,1.61925,9579.7002
1578384000000,1.61925,1.61955,1.61785,1.6195,11780.8301
1578387600000,1.61949,1.62296,1.61924,1.62246,9145.5996
1578391200000,1.62244,1.62465,1.62206,1.62452,10513.2803
1578394800000,1.62452,1.62699,1.62438,1.62601,8543.2197
1578398400000,1.62602,1.62602,1.62395,1.62519,7626.3701
1578402000000,1.62516,1.62589,1.62408,1.62458,11307.1299
1578405600000,1.62458,1.62532,1.62306,1.6234,11940.6699
1578409200000,1.62339,1.62346,1.62111,1.62204,13880.1299
1578412800000,1.62204,1.62345,1.62167,1.62335,7936.0601
1578416400000,1.62335,1.62379,1.62204,1.62217,6449.8501
1578420000000,1.62216,1.6229,1.62195,1.62261,4572.2998
1578423600000,1.62262,1.62312,1.62236,1.62243,4651.5601
1578427200000,1.62243,1.62264,1.62218,1.62248,3551.55
1578430800000,1.62245,1.62463,1.62239,1.62321,3204.8301
1578434400000,1.62321,1.62384,1.62224,1.62306,3374.6699
1578438000000,1.62305,1.62757,1.62289,1.62592,9255.7402
1578441600000,1.62594,1.62932,1.62487,1.62667,19902.4004
1578445200000,1.62667,1.62737,1.62324,1.62481,16074.8496
1578448800000,1.6248,1.62503,1.62098,1.62259,16937.3105
1578452400000,1.6226,1.62483,1.62159,1.62325,9979.8496
1578456000000,1.62326,1.62358,1.62206,1.62268,5083.2002
1578459600000,1.62264,1.62351,1.62192,1.62292,5115.3501
1578463200000,1.62289,1.62306,1.62194,1.62275,5086.6899
1578466800000,1.62272,1.62272,1.61974,1.62027,12632.6602
1578470400000,1.62024,1.62071,1.61849,1.61939,16600.5898
1578474000000,1.6194,1.62106,1.61828,1.62067,10618.1104
1578477600000,1.62067,1.62164,1.61971,1.62036,9940.5098
1578481200000,1.62034,1.62038,1.61896,1.61937,8877.0498
1578484800000,1.61939,1.6213,1.6189,1.61985,9618.0996
1578488400000,1.61985,1.62071,1.61896,1.61915,11447.2402
1578492000000,1.61917,1.62232,1.61913,1.62212,8730.7598
1578495600000,1.62209,1.62359,1.62175,1.62206,10167.25
1578499200000,1.62206,1.62266,1.61688,1.61815,14765.3398
1578502800000,1.61813,1.61813,1.6161,1.61686,10139.6797
1578506400000,1.61686,1.61735,1.61628,1.6173,5120.3398
1578510000000,1.6173,1.61749,1.61666,1.61692,4337.9302
1578513600000,1.61692,1.61854,1.61674,1.61835,5366.9702
1578517200000,1.61833,1.61844,1.61641,1.6172,2640.22
1578520800000,1.61718,1.61878,1.61672,1.61815,1723.36
1578524400000,1.61801,1.61873,1.61616,1.61623,2474.95
1578528000000,1.61626,1.61711,1.61554,1.61677,6520.02
1578531600000,1.61675,1.61784,1.61589,1.61712,6991.04
1578535200000,1.61711,1.61804,1.61638,1.61685,4140.9502
1578538800000,1.61685,1.61828,1.6166,1.61768,2980.1299
1578542400000,1.61769,1.61842,1.61705,1.61735,2764.1899
1578546000000,1.61737,1.61769,1.61697,1.61702,3563.52
1578549600000,1.61706,1.6176,1.61576,1.61601,5014.79
1578553200000,1.61602,1.61715,1.616,1.61657,8284.4004
1578556800000,1.61657,1.61991,1.61621,1.6198,9444.5898
1578560400000,1.61977,1.62054,1.6183,1.61842,11072.3799
1578564000000,1.61842,1.61931,1.61777,1.61877,7983.29
1578567600000,1.61877,1.61932,1.61827,1.61909,6025.27
1578571200000,1.61909,1.62013,1.61832,1.61973,8850.6602
1578574800000,1.61969,1.61988,1.61834,1.61908,8681.3896
1578578400000,1.61908,1.62017,1.61842,1.6188,8895.6602
1578582000000,1.6188,1.62081,1.61854,1.61981,10583.8701
1578585600000,1.61981,1.62003,1.61897,1.61983,8256.9102
1578589200000,1.61983,1.62166,1.6196,1.62056,5094.21
1578592800000,1.62055,1.62088,1.61999,1.62051,5787.2798
1578596400000,1.62047,1.62143,1.62046,1.62097,2760.8701
1578600000000,1.62097,1.62097,1.61981,1.62,3172.4299
1578603600000,1.61999,1.62003,1.61907,1.6191,1417.29
1578607200000,1.61891,1.62051,1.61856,1.62046,1566.39
1578610800000,1.62046,1.62103,1.6198,1.62092,2846.78
1578614400000,1.62089,1.62119,1.61647,1.61933,8341.0195
